link,Český video titulek,video na titulní stránce?,English Video Title ,popisek k videu,english video description,SLUG cesky,SLUG english,ROK,kategorie1,kategorie2,priorita kategorie 2  (1 - TOP Priority),,země natáčení,České Štítky (CZ verze),English Tags (EN version)
https://youtu.be/M7YtcTkurkQ,DVTV Turistika beze stop - Vlachovice,,DVTV Sustainable Tourism - Vlachovice,"Ve Vlachovicích v Bílých Karpatech jsem kamerou hledal duši starých řemesel – od sušáren ovoce až po bednářství. Letecké záběry mi umožnily ukázat, jak jsou tyto tradice vrostlé do okolní přírody. Pomáhám obcím a lokálním výrobcům prezentovat jejich kulturní dědictví moderním způsobem, který osloví turisty i partnery a ukáže krásu a poctivost české práce z úplně nové perspektivy.","In the village of Vlachovice, I went looking for the soul of ancient crafts—from traditional fruit dryers to cooperage. Aerial shots allowed me to show how these traditions are rooted in the surrounding nature. I help local communities present their cultural heritage in a modern way that attracts tourists and partners alike, showcasing the honesty of Czech craftsmanship.",dvtv-turistika-vlachovice-biofarma,subterra-prague-tunnels-maintenance,2025,Video Production,Documentary,8,DVTV,Česká republika,"Tradice, Zemědělství, Eko-farma, Kultura","Tradition, Agriculture, Eco-Farming, Culture"
https://youtu.be/FIWgoFVJIvw,DVTV Turistika beze stop - České Švýcarsko,,DVTV Sustainable Tourism - Bohemian Switzerland,"Dokumentovat znovuzrození Českého Švýcarska po požáru byla silná zkušenost. S dronem jsem zachytil kontrast mezi syrovostí pískovcových skal a regenerujícím se lesem v okolí Hřenska. Pomáhám turistickým portálům a regionům vyprávět příběhy o síle přírody skrze technicky precizní záběry, které divákovi předají hloubku a důležitost ochrany takto unikátních míst.","Documenting the rebirth of Bohemian Switzerland after the forest fires was a powerful experience. With my drone, I captured the contrast between the raw sandstone cliffs and the regenerating forest near Hřensko. I help tourism boards tell stories of nature’s resilience through technically precise footage that conveys the depth and importance of conservation.",dvtv-turistika-ceske-svycarsko,subterra-housing-construction-prague,2024,Video Production,Documentary,9,DVTV,Česká republika,"Příroda, Ochrana přírody, Ekologie, Národní park","Nature, Conservation, Ecology, National Park"
https://youtu.be/P0AxebhY0co,EKOBAL- robotická paletizační linka,,EKOBAL - Robotic Palletizing Line,"Robotizace v Ekobalu mě bavila díky své čistotě a rytmu. Jako pilot dronu jsem musel zvládnout náročné průlety přímo uvnitř výrobních hal (indoor flights), abych zachytil robotickou linku v plném provozu z těsné blízkosti. Průmyslovým firmám pomáhám zviditelnit jejich technologický pokrok skrze dynamické video, které na první pohled ukazuje rychlost, inovaci a moderní tvář jejich výroby.","Filming the robotics at Ekobal was a joy because of its clean lines and rhythm. As a drone pilot, I managed challenging indoor flights through the production halls to capture the robotic line in full operation from up close. I help industrial firms showcase their technological progress through dynamic video that instantly communicates innovation and modern manufacturing.",ekobal-robotic-palletizing-line,subterra-historic-building-reconstruction,2023,Video Production,Corporate video,14,EKOBAL,Česká republika,"Průmysl 4.0, Automatizace, Robotika, Logistika","Industry 4.0, Automation, Robotics, Logistics"
https://youtu.be/K7lxMLJ9HpU,EKOBAL - balící linka na skleněné izolace,,EKOBAL - Packaging Line for Glass Insulation,"Sledovat automatizovanou linku na skleněné izolace v reálném provozu vyžaduje cit pro detail. Zaměřil jsem se na mechanické pohyby a plynulost logistiky v duchu Průmyslu 4.0. Pomáhám výrobním závodům prezentovat jejich technologickou vyspělost investorům i klientům pomocí videí, která dodávají technice lidský rozměr a ukazují, jak vypadá efektivní budoucnost průmyslu v praxi.",Tracking an automated packaging line for glass insulation in real-time requires a keen eye for detail. I focused on mechanical movements and logistical flow in the spirit of Industry 4.0. I help manufacturing plants present their technological sophistication to investors and clients through videos that give machinery a human dimension.,ekobal-packaging-line-insulation,subterra-sports-hall-construction,2021,Video Production,Corporate video,15,EKOBAL,Česká republika,"Výroba, Průmyslová automatizace, B2B, Technologie","Manufacturing, Industrial Automation, B2B, Technology"
https://youtu.be/QFePiiqvZz4,EKOBAL - balící linka na mýdla,ano,EKOBAL - Robotic Soap Packaging Line,"Nahlédněte do světa automatizace skrze detaily robotické linky Isolda. Jako kameraman se soustředím na čisté technické záběry a makro detaily, které ukazují neuvěřitelnou rychlost a hygienické standardy balení. Pomáhám firmám ukázat jejich technologickou vyspělost v tom nejlepším světle, ať už pro B2B prezentace nebo mezinárodní veletrhy.","Explore the world of automation through the intricate details of the Isolda robotic line. As a cinematographer, I focus on clean technical shots and macro details that showcase incredible speed and hygiene standards. I help companies present their technological edge in the best light, whether for B2B presentations or international trade fairs.",ekobal-robotic-soap-packaging,subterra-wastewater-plant-modernization,2021,Video Production,Corporate video,2,EKOBAL,Česká republika,"Robotika, FMCG balení, Automatizace, Průmysl","Robotics, FMCG Packaging, Automation, Industry"
https://youtu.be/183aiQg0f4Y,EKOBAL - autonomní vozíky,,EKOBAL - AGV Autonomous Vehicles,"Sledovat autonomní vozíky AGV v plném provozu u Greiner Packaging byla skvělá ukázka logistiky budoucnosti. S dronem jsem proletěl skladem, abych zachytil tu dokonalou synchronizaci strojů, která je běžnému oku skryta. Firmám pomáhám demonstrovat pokrok v automatizaci skrze dynamické video, které propojuje technický detail s celkovou atmosférou moderního podniku.",Watching AGV autonomous vehicles in full swing at Greiner Packaging was a great display of future logistics. I flew a drone through the warehouse to capture the perfect synchronization of machines that usually goes unseen. I help firms demonstrate progress in automation through dynamic video that blends technical detail with the overall atmosphere of a modern facility.,ekobal-autonomous-agv-vehicles,subterra-flood-protection-measures,2023,Video Production,Corporate video,16,EKOBAL,Česká republika,"AGV, Chytrá logistika, Automatizace, Průmysl 4.0","AGV, Smart Logistics, Automation, Industry 4.0"
https://youtu.be/nt9KF-hyq3g,EKOBAL - balící linka na pečivo,,EKOBAL - Robotic Bakery Packaging Line,U robotických systémů na balení pečiva jsem se zaměřil na efektivitu a rytmus celého procesu – od manipulace s nákladem až po finální stretchování. Moje kamera zdůrazňuje spolehlivost strojů Ekobal a mění čistě technický proces v působivý vizuální příběh. Pomáhám výrobním společnostem vizuálně komunikovat jejich know-how a budovat důvěru u obchodních partnerů.,"For the robotic bread-packing systems, I focused on the efficiency and rhythm of the entire process—from load handling to final stretch-wrapping. My camera highlights the reliability of Ekobal machinery, turning a purely technical process into a compelling visual story. I help manufacturing companies visually communicate their know-how and build trust with business partners.",ekobal-robotic-bakery-packaging,subterra-tram-track-reconstruction,2022,Video Production,Corporate video,17,EKOBAL,Česká republika,"Potravinářství, Robotika, Balení, Logistika","Food Industry, Robotics, Packaging, Logistics"
https://youtu.be/fVD90BnkvjI,VEBA - promo video,,VEBA - Corporate Promo Video,"V srdci textilky Veba jsem zachytil fascinující moment, kde se tradiční řemeslo potkává s moderní technologií. Jako kameraman jsem se zaměřil na detail vláken i rychlost žakárských stavů, ale nezapomněl jsem ani na lidský prvek, který za každým vzorem stojí. Pomáhám českým výrobcům odvyprávět příběh jejich značky tak, aby oslovil zákazníky i odběratele po celém světě.","In the heart of the Veba textile plant, I captured the fascinating moment where traditional craft meets modern technology. As a videographer, I focused on fiber details and the speed of Jacquard looms, but I didn't forget the human element behind every pattern. I help Czech manufacturers tell their brand story in a way that resonates with customers and distributors worldwide.",veba-textilka-promo-video,subterra-labe-bridge-construction,2021,Video Production,Commercial & Promo,20,Ewing Public Relations,Česká republika,"Textilní průmysl, Výroba, Tradice, B2B","Textile Industry, Manufacturing, Heritage, B2B"
https://www.youtube.com/watch?v=2C1GMLd8PdE,VUZ - časosběr polepu lokomotivy,,VUZ - Locomotive Branding Time-lapse,"Dokumentovat transformaci lokomotivy Siemens Vectron formou časosběru byla mravenčí práce, kde hrál roli každý milimetr. V obřím hangáru Výzkumného Ústavu Železničního jsem zachytil precizní proces polepu, který dává stroji jeho identitu. Dopravním a logistickým firmám pomáhám prezentovat jejich značku v akci a ukazuji, že i čistě technický proces může mít estetickou hodnotu.","Documenting the transformation of a Siemens Vectron locomotive through time-lapse was meticulous work where every millimeter mattered. In the massive VUZ hangar, I captured the precise branding process that gives the machine its identity. I help transport and logistics companies present their brand in action, showing that even a purely technical process can have aesthetic value.",vuz-casosber-polep-lokomotivy,subterra-hospital-modernization,2020,Video Production,Commercial & Promo,23,Ewing Public Relations,Česká republika,"Železnice, Branding, Časosběr, Inženýrství","Railway Industry, Branding, Time-lapse, Engineering"
https://youtu.be/Rav1VsEovbE,Pixelata!,,Pixelata! - Art & Sustainability Project,"Projekt Pixelata pro iniciativu „Každá plechovka se počítá“ byla úžasná spojnice mezi uměním a ekologií. S dronem jsem mapoval, jak se industriální prostor mění pod rukama lidí v obří barevnou mozaiku. Zachytil jsem atmosféru komunitní spolupráce i rozsah celého díla z výšky. Pomáhám značkám komunikovat jejich CSR projekty autenticky a s důrazem na emoce i ekologické poselství.","The Pixelata project for the ""Every Can Counts"" initiative was an amazing bridge between art and ecology. Using a drone, I mapped how an industrial space transformed under people's hands into a giant, colorful mosaic. I captured the spirit of community collaboration and the sheer scale of the piece from above. I help brands communicate their CSR projects authentically, with a focus on emotion and ecological messaging.",pixelata-mozaika-plechovky,subterra-data-center-construction,2020,Video Production,Corporate video,20,Ewing Public Relations,Česká republika,"Udržitelnost, CSR, Umělecký projekt, Ekologie","Sustainability, CSR, Art Project, Environment"
https://youtu.be/U1GPq01yCLk,Vesna - Běžela jsem lesem,ano,Vesna - I Ran Through the Forest (Official Music Video),"Tohle natáčení v mlžném lese pro kampaň o domácím násilí pro mě bylo emočně silné. Prací se světlem a kompozicí jsem se snažil vytvořit tísnivou, ale zároveň nadějnou atmosféru, která diváka okamžitě vtáhne. Pomáhám neziskovým organizacím šířit důležitá společenská témata skrze kinematografickou kvalitu, která má reálný dopad a vyvolává v lidech empatii.","Filming in the misty woods for this domestic violence awareness campaign was emotionally powerful. Through light and composition, I aimed to create an atmosphere that was heavy yet hopeful, drawing the viewer in instantly. I help non-profits share critical social issues through cinematic quality that has a real impact and evokes empathy.",vesna-bezela-jsem-lesem-klip,subterra-university-campus-reconstruction,2025,Drone Cinematography,Music video,2,Flux Films,Česká republika,"Hudební video, Sociální kampaň, Osvěta, Umění","Music Video, Social Campaign, Awareness, Art"
https://youtu.be/TXH8XcNl9WE,Zrní - Neposlušnost,,Zrní - Disobedience (Official Music Video),"Videoklip pro kapelu Zrní je o syrové energii a pohybu v lese. Jako kameraman jsem vsadil na přirozené světlo a rytmus, abych propojil obraz s hudebním podkresem v jeden živelný celek. Umělcům a kreativním značkám pomáhám vystoupit z davu pomocí vizuálu, který není jen hezký, ale má v sobě skrytou symboliku a autentičnost.","The music video for the band Zrní is all about raw energy and movement in the forest. As a cinematographer, I relied on natural light and rhythm to fuse the image and music into one vibrant whole. I help artists and creative brands stand out with visuals that aren't just pretty, but carry hidden symbolism and authenticity.",zrni-neposlusnost-official-video,subterra-elementary-school-construction,2020,Drone Cinematography,Music video,3,Zrní,Česká republika,"Hudební video, Kreativní, Příroda, Umění","Music Video, Creative, Nature, Art"
https://youtu.be/51a46ePDcL0,Duchenne bez bariér - tisková konference,,Duchenne Without Barriers - Press Conference,"Při natáčení tiskové konference Parent Project pro mě bylo klíčové zachytit nejen fakta, ale především odhodlání lidí, kteří pomáhají pacientům s Duchennovou svalovou dystrofií. Kombinoval jsem záběry z diskuse s osobními rozhovory, abych vytvořil ucelený a důstojný obraz o činnosti organizace. Pomáhám neziskovým organizacím i firmám srozumitelně komunikovat jejich výsledky a šířit silná poselství skrze profesionální video reportáže, které mají skutečný dopad v médiích i na webu.","When filming the Parent Project press conference, my goal was to capture not just the facts, but the dedication of those supporting patients with Duchenne muscular dystrophy. I combined panel discussions with personal interviews to create a complete and dignified picture of the organization's mission. I help non-profits and corporate clients effectively communicate their results and spread powerful messages through professional video reporting that makes a real impact in the media and online.",duchenne-bez-barier-tiskovka,subterra-lighting-modernization,2023,Video Production,Corporate video,18,Duchenne,Česká republika,"Neziskový sektor, Medicína, Event, Sociální dopad","Non-Profit, Medical, Event, Social Impact"
https://youtu.be/t53ktHKJDPg,Fakultní nemocnice Ostrava a její pacienti s diagnózou SMA,,Ostrava University Hospital - SMA Patient Profiles,"Dokumentární medailonek o pacientech se spinální svalovou atrofií propojuje lidské osudy s moderní tváří Ostravy. Jako kameraman jsem kladl důraz na citlivé rozhovory a doplnil je o plynulé záběry z dronu na dominanty města. Pomáhám zdravotnickým zařízením a nadacím předávat naději i složité medicínské informace způsobem, který je lidský a vizuálně silný.",This documentary profile of patients with spinal muscular atrophy links human stories with the modern face of Ostrava. I emphasized sensitive interviews and complemented them with smooth drone shots of city landmarks. I help healthcare facilities and foundations share hope and complex medical info in a way that is human and visually powerful.,fn-ostrava-pacienti-sma,subterra-vltava-cycle-path-construction,2025,Video Production,Documentary,19,Fakultní nemocnice Ostrava,Česká republika,"Zdravotnictví, Dokument, Sociální téma, Naděje","Healthcare, Medical Documentary, Social Issue, Hope"
https://youtu.be/_N66QUp61-A,NÚVR - Prof. Ondřej Slabý - Precizní onkologie krok za krokem,,NICR - Prof. Ondřej Slabý: Precision Oncology Step by Step,"Ukázat špičkový výzkum v oblasti onkologie v Brně pro mě znamenalo najít rovnováhu mezi sterilitou laboratoří a dynamikou univerzitního kampusu. Využil jsem dron, abych vědeckému prostředí dodal zasloužené měřítko a prestiž. Věřím, že autentický dokumentární styl nejlépe buduje důvěru v inovativní medicínu, a proto pomáhám vědeckým lídrům prezentovat jejich práci světu profesionálně a srozumitelně.","Showcasing cutting-edge oncology research in Brno required a delicate balance between the clinical environment of the labs and the dynamic energy of the university campus. By using drone cinematography, I gave the scientific setting the scale and prestige it deserves. I believe an authentic documentary approach is the best way to build trust in medical innovation, helping scientific leaders present their work to the world with clarity and professionalism.",nuvr-precizni-onkologie-slaby,subterra-square-reconstruction,2025,Video Production,Interview,4,NÚVR,Česká republika,"Věda, Onkologie, Medicínský výzkum, Inovace","Science, Oncology, Medical Research, Innovation"
https://youtu.be/cKIGCPsvaXU,NÚVR - Aleksi Šedo. Jak spolu buňky v nádoru mluví,,NICR - Aleksi Šedo: How Cancer Cells Communicate,"Spolupráce špičkových vědců v Praze a Brně si zasloužila vizuál, který podtrhne jejich nasazení. Zaměřil jsem se na dynamické prostřihy z laboratoří a plynulé přelety dronom nad moderní architekturou výzkumných center. Pomáhám institucím vystoupit z řady a komunikovat složitý výzkum tak, aby působil reprezentativně a zaujal odborníky i širokou veřejnost.","Mapping the collaboration between top cancer researchers in Prague and Brno, I wanted the visuals to reflect their level of expertise. I focused on dynamic lab sequences and smooth aerial shots that place these research centers within a modern architectural context. My goal is to help institutions build authority and communicate complex science through clear, professional storytelling that engages both specialists and the public.",nuvr-aleksi-sedo-nadorove-bunky,subterra-waste-incinerator-construction,2025,Video Production,Interview,5,NÚVR,Česká republika,"Věda, Biologie, Výzkum, Akademická sféra","Science, Biology, Research, Academic"
https://youtu.be/L15xZUI7tFI,NÚVR - Podcast Mezi Buňky,,NICR - Between Cells Podcast,"U podcastu „Mezi buňky“ jsem vsadil na čistý, více-kamerový setup, aby divák neztratil pozornost ani u náročné odborné diskuse. Od krystalického zvuku až po barevný grading si dávám záležet na každém detailu, který dělá vědecký obsah vizuálně atraktivním. Pomáhám institucím budovat autoritu tím, že jejich expertní vědomosti přenáším na obrazovku v moderním a plynulém formátu.","For the ""Mezi buňky"" podcast, I went with a polished multi-camera setup to keep the audience engaged throughout the complex expert discussion. From crystal-clear audio to professional color grading, I focus on the details that make scientific content visually compelling. I help organizations build their authority by bringing expert knowledge to the screen in a modern, seamless format.",nuvr-podcast-mezi-bunky,subterra-airport-modernization,2025,Video Production,Interview,6,NÚVR,Česká republika,"Komunikace vědy, Vzdělávání, Zdraví, Podcast","Science Communication, Education, Health, Podcast"
https://youtu.be/1nEmrwS297w,NÚVR - Prof. Václav Liška - Výzkum umělých orgánů,ano,NICR - Prof. Václav Liška: Artificial Organ Research,"Nahlédnout do světa experimentální chirurgie v Plzni byla pro mě jako kameramana mimořádná zkušenost. Propojil jsem detaily z operačních sálů s ptačí perspektivou na moderní budovy fakulty, abych ukázal rozsah investic do české vědy. Pomáhám zdravotnickým institucím budovat jejich značku skrze obraz, který zrcadlí jejich preciznost a technologický pokrok.",Capturing the world of experimental surgery in Plzeň was a truly unique experience. I blended close-ups from the operating rooms with aerial views of the faculty's modern infrastructure to highlight the scale of Czech scientific investment. My goal is to help healthcare institutions build a strong brand through visuals that reflect their precision and technological advancement.,nuvr-vaclav-liska-chirurgie,subterra-library-construction,2025,Video Production,Interview,7,NÚVR,Česká republika,"Chirurgie, Výzkum, Věda, Medicínský trénink","Surgery, Research, Science, Medical Training"
https://youtu.be/EsK8vb87-f8,"8 dní, 8 hodin",,"8 Days, 8 Hours - Documentary Teaser","Tento teaser k dokumentárnímu filmu vás vezme hluboko do zákulisí příběhu, kde hrají hlavní roli emoce. Jako kameraman a dronista jsem se snažil, aby každé vzlétnutí podtrhlo filmovou atmosféru a dodalo vyprávění potřebnou hloubku. Dokumentárním projektům dodávám vizuální přesah, který diváka okamžitě vtáhne do děje a nepustí ho.","Taking you deep behind the scenes of a story driven by raw emotion, this documentary teaser highlights the power of visual storytelling. As both a cinematographer and drone pilot, I aimed for every aerial shot to enhance the cinematic atmosphere and add a layer of depth to the narrative. I bring a visual edge to documentary projects, ensuring the audience is instantly captivated by the unfolding story.",dokument-8-dni-8-hodin,subterra-theater-reconstruction,2025,Drone Cinematography,Documentary,23,Domestici,Česká republika,"Dokument, Lidský příběh, Dobrodružství, Teaser","Documentary, Human Story, Adventure, Teaser"
https://youtu.be/cEyODBnu-4M,CZECH BASEBALL - MLB EUROPE PLAY STORIES,ano,"CZECH BASEBALL - Small Country, Big Dreams","Sledovat cestu českého baseballu na World Baseball Classic v Tokiu byla jízda plná adrenalinu. Propojil jsem dynamické detaily ze hřiště s unikátními záběry z dronu nad zaplněným Tokyo Dome. Sportovním klubům pomáhám budovat jejich brand a motivovat fanoušky skrze příběhy, které mají světovou vizuální kvalitu a dravost.",Following the Czech baseball team's journey to the World Baseball Classic in Tokyo was an adrenaline-filled ride. I combined dynamic on-field action with unique drone footage of the packed Tokyo Dome. I help sports organizations build their brand and inspire fans through stories told with world-class visual energy and grit.,czech-baseball-play-stories,subterra-heating-network-modernization,2023,Drone Cinematography,Documentary,12,MLB Europe,Česká republika,"Sport, Dokument, Baseball, Národní tým","Sport, Documentary, Baseball, National Team"
https://youtu.be/gzUu-FJ7s-Y,Ramayana,,Ramayana - Visual Effects Introduction (DNEG),"Spolupráce na indickém velkofilmu Ramayana v Adršpachu byla technickou výzvou, na kterou jsem hrdý. Moje dronové záběry skal sloužily jako podklad pro oscarové studio DNEG při tvorbě vizuálních efektů. Filmovým produkcím dodávám data nejvyšší kvality, která splňují hollywoodské standardy a umožňují realizovat velkolepé vize bez kompromisů.","Working on the Indian blockbuster Ramayana in the Adršpach rocks was a technical challenge I’m incredibly proud of. My drone shots served as the foundation for the Oscar-winning DNEG studio to create high-end visual effects. I provide film productions with top-tier data that meets Hollywood standards, allowing grand visions to come to life without compromise.",ramayana-introduction-dneg-vfx,subterra-retirement-home-construction,2025,Drone Cinematography,Movie,,DNEG,Česká republika,"Filmový průmysl, VFX, Globální produkce, Fantasy","Film Industry, VFX, Global Production, Fantasy"
https://youtu.be/js7Xot0WB-g,iSTYLE - nová Apple Premium Partner na Masaryčce,,iSTYLE - New Apple Premium Partner at Masaryčka,Slavnostní otevření iSTYLE v Masaryčce jsem pojal jako dynamickou vizuální jízdu. Propojil jsem prémiový design Apple s ikonickou architekturou Zahy Hadid. Jako kameraman jsem zachytil energii eventu a s dronem zasadil prodejnu do kontextu moderního centra Prahy. Retailovým značkám pomáhám s uvedením nových poboček skrze čistý a reprezentativní video obsah.,"Approaching the grand opening of iSTYLE at Masaryčka as a dynamic visual ride, I blended Apple’s premium design with Zaha Hadid’s iconic architecture. As a cameraman, I captured the energy of the event and used a drone to set the store within the context of Prague's modern center. I help retail brands launch new locations through clean, prestigious video content.",istyle-apple-premium-masarycka,subterra-park-reconstruction,2023,Drone Cinematography,Commercial & Promo,17,iSTYLE,Česká republika,"Retail, Apple, Event, Technologie","Retail, Apple, Event, Technology"
https://youtu.be/ZiTQKV07HdM,Welcome to The Julius Prague,ano,Welcome to The Julius Prague,"Pro rezidenční projekt The Julius jsem zaštítil vše od kreativního návrhu až po finální střih. Jako kameraman jsem se soustředil na luxusní detaily a plynulé průlety dronem historickým centrem Prahy. Hotelům a developerským projektům pomáhám vytvořit podmanivou prezentaci, která osloví náročnou klientelu a podtrhne prémiový standard jejich služeb.","Handling everything from creative concept to final edit for The Julius residential project allowed me to focus on the finest details. As a videographer, I captured the luxury atmosphere and smooth drone flights through the heart of Prague. I help hotels and developers create captivating presentations that appeal to a discerning clientele and highlight their premium service standards.",welcome-to-the-julius-prague,welcome-to-the-julius-prague,2024,Video Production,Real-estate,2,Julius Meinl Prime Homes,Česká republika,"Hospitality, Luxusní reality, Interiér, Lifestyle","Hospitality, Luxury Real Estate, Interior, Lifestyle"
https://youtu.be/IPISFlXVdfE,ROUBENKY ROUBAL - Náš příběh,ano,ROUBENKY ROUBAL - Our Story,"Tři roky jsem dokumentoval cestu „Roubenky Roubal“ od nápadu až po hotový dům. Jako kameraman jsem se zaměřil na poctivé tradiční řemeslo a harmonii stavby s přírodou, což nejlépe vynikne na plynulých záběrech z dronu. Firmám pomáhám budovat dlouhodobou důvěru klientů skrze silné příběhy, které dávají nahlédnout pod pokličku vzniku výjimečných projektů.","Spending three years documenting the journey of ""Roubenky Roubal"" from concept to completion was a lesson in patience and craft. I focused on honest, traditional craftsmanship and the harmony between the building and nature, showcased through smooth drone shots. I help companies build long-term client trust through powerful stories that offer a peek under the hood of exceptional projects.",roubenky-roubal-nas-pribeh,roubenky-roubal-our-story,2024,Video Production,Documentary,13,KOMPLETNÍ STAVBY ROUBAL,Česká republika,"Řemeslo, Architektura, Tradice, Rodinná firma","Craftsmanship, Architecture, Tradition, Family Business"
https://youtu.be/XelmyERwWRo,ROUBENKY ROUBAL - Stavba roubenky od začátku do konce,,ROUBENKY ROUBAL - Building a Log House from A to Z,"Sledovat zrod Roubenky Roubal od prvních výkopů až po poslední tesařský detail byla fascinující tříletá cesta. Jako kameraman jsem propojil časosběrné záběry s plynulými přelety dronem, abych zachytil poctivé řemeslo v srdci české přírody. Pomáhám stavebním firmám a architektům ukázat kvalitu jejich práce skrze vizuální příběhy, které v lidech vzbuzují emoce a budují důvěru v jejich značku.","Documenting the birth of a Roubal log house from the initial foundation to the final timber details was a fascinating three-year journey. As a cinematographer, I blended time-lapse photography with smooth drone sweeps to capture authentic craftsmanship in the heart of the Czech landscape. I help construction firms and architects showcase the quality of their work through visual stories that evoke emotion and build lasting brand trust.",roubenky-roubal-stavba-domu,roubenky-roubal-house-construction,2023,Video Production,Real-estate,1,KOMPLETNÍ STAVBY ROUBAL,Česká republika,"Stavebnictví, Práce se dřevem, Řemeslo, Příroda","Construction, Woodwork, Craft, Nature"
https://youtu.be/ar8yd52AyiM,The Creepy Origin Of The Abandoned Houska Castle,,The Creepy Origin of the Abandoned Houska Castle,"Pro dokumentární film kanálu Discovery Channel UK jsem měl tu čest natáčet jeden z nejtajemnějších hradů u nás. S dronem jsem se soustředil na zachycení té syrové, mystické atmosféry Housky z ptačí perspektivy, kterou klasická kamera nedokáže zprostředkovat. Mezinárodním produkcím dodávám technicky špičkové letecké záběry, které prohlubují filmový zážitek a dodávají historickým příběhům potřebnou velkolepost.","Filming at Houska Castle, one of the most mysterious sites in the Czech Republic, for a Discovery Channel UK documentary was an incredible opportunity. I focused on capturing the raw, mystical atmosphere from a bird's-eye view, revealing the castle's unique architecture and isolated location. I provide international productions with high-end aerial cinematography that enhances the storytelling and brings a cinematic scale to historical narratives.",creepy-origin-houska-castle,creepy-origin-houska-castle,2022,Drone Cinematography,Documentary,15,KOMPLETNÍ STAVBY ROUBAL,Česká republika,"Záhady, Historie, Dokument, Legendy","Mystery, History, Documentary, Legend"
https://youtu.be/HMznCbhE-qo,CRESTYL - Semerínka - Nové bydlení v Radlicích,,CRESTYL - Semerínka: New Living in Radlice,"U projektu Semerínka v pražských Radlicích jsem se s dronem zaměřil na to, jak moderní architektura komunikuje s okolním městem. Ve spolupráci s agenturou madlove.cz jsem zachytil unikátní výhledy a dynamiku této lokality, což je pro úspěšnou prezentaci bydlení klíčové. Developerům pomáhám vizualizovat budoucí domovy jejich klientů skrze záběry, které mají filmový nádech a prodávají emoci prémiového standardu.","Working on the Semerínka project in Prague's Radlice district, I used drone cinematography to highlight how modern architecture interacts with the surrounding urban landscape. Collaborating with the madlove.cz agency, I captured unique views and the vibrant energy of the location. I help developers visualize future homes for their clients through footage that carries a cinematic feel and sells the emotion of high-end living.",crestyl-semerinka-bydleni-radlice,crestyl-semerinka-living-radlice,2022,Drone Cinematography,Real-estate,5,MadLove,Česká republika,"Reality, Architektura, Developer, Bydlení","Real Estate, Architecture, Developer, Housing"
https://youtu.be/4k8ebDrLHxY,PSN - Lofty Vanguard - vzorový loft Dreamer,,PSN - Lofty Vanguard: Dreamer Showroom,"Vanguard Prague je symbolem industriálního luxusu a s dronem jsem se snažil podtrhnout právě tu jeho monumentálnost. Ve spolupráci s madlove.cz jsem zachytil syrovou estetiku betonové konstrukce i velkorysé prostory, které dělají z tohoto projektu naprostý unikát. Pomáhám prémiovým značkám oslovit náročnou klientelu skrze vizuály, které ukazují exkluzivitu a odvahu jejich architektonických vizí.","Vanguard Prague stands as a symbol of industrial luxury, and my goal was to highlight its monumental scale through professional drone footage. In collaboration with madlove.cz, I captured the raw aesthetic of the iconic structure and its vast loft spaces. I help premium brands reach a discerning clientele through visuals that showcase the exclusivity and boldness of their architectural visions.",lofty-vanguard-vzorovy-loft,vanguard-lofts-model-loft,2023,Drone Cinematography,Real-estate,6,MadLove,Česká republika,"Industriální luxus, Reality, Design, Interiér","Industrial Luxury, Real Estate, Design, Interior"
https://youtu.be/x7bDnDbvVL4,CRESTYL - Savarin,,CRESTYL - Savarin Prague,"Natáčení projektu Savarin v samotném srdci Prahy byla technická výzva, která vyžadovala maximální preciznost při létání v husté zástavbě. Zachytil jsem historický kontext i budoucí vizi tohoto ambiciózního prostoru z ptačí perspektivy. Realitním projektům světového formátu dodávám velkolepost a jasnou orientaci v prostoru, což je pro prezentaci takto významných proměn metropole naprosto klíčové.","Filming the Savarin project in the very heart of Prague was a technical challenge that required maximum precision while flying in a dense urban environment. I captured both the historical context and the future vision of this ambitious space from above. I provide world-class real estate projects with a sense of grandeur and spatial clarity, which is essential for presenting significant urban transformations.",crestyl-savarin-by-crestyl,crestyl-savarin-by-crestyl,2025,Drone Cinematography,Real-estate,7,MadLove,Česká republika,"Urbanismus, Architektura, Reality, Rozvoj města","Urbanism, Architecture, Real Estate, City Development"
https://youtu.be/WPefu6WdQEw,CRESTYL  - Dobré lokality měníme ve skvělé adresy,ano,CRESTYL - Turning Good Locations into Great Addresses,"Filozofii „Dobré lokality měníme ve skvělé adresy“ jsem se snažil vdechnout život skrze estetiku leteckých záběrů. Zaměřuji se na zachycení atmosféry míst, kde vzniká prémiové bydlení, a propojuji architekturu s okolním prostředím. Jako kameraman pomáhám developerům budovat jejich značku skrze vizuální marketing, který lidem ukazuje skutečnou kvalitu a hodnotu místa, kde budou jednou žít.","Bringing the philosophy of ""Turning good locations into great addresses"" to life, I focused on the aesthetic power of aerial cinematography. I aim to capture the soul of the places where premium housing is born, seamlessly linking architecture with its surroundings. As a cinematographer, I help developers build their brand through visual marketing that shows people the true quality and value of their future homes.",crestyl-dobre-lokality-adresy,crestyl-good-locations-addresses,2024,Drone Cinematography,Real-estate,3,MadLove,Česká republika,"Reality, Developer, Městský život, Marketing","Real Estate, Developer, City Life, Marketing"
